Kinase Uniprot ID	Kinase Name	Mean Specificity Score	Mean Significance Score	Mean Final Score	Median Final score	Mean Kinase Statistic	Median Kinase Statistic	SD Kinase Statitistic	Mean peptide set size
Q16620	TRKB	1.91758792758759	0.698970004336019	2.61655793192361	2.74472749489669	-0.786694798187269	-0.774545321521335	0.0495990768832442	17.8888888888889
P29376	LTK	1.56725170784783	0.640272917984125	2.20752462583195	2.46852108295774	-0.756811485710642	-0.799251681386469	0.0841502042232618	14.3333333333333
Q04912	Ron	1.61148757749736	0.732417781632017	2.34390535912938	2.39794000867204	-0.968871392761148	-0.956476398846839	0.246800220452878	7.11111111111111
P29320	EphA3	1.21944930817547	1	2.21944930817547	2.21944930817547	-0.883278116483061	-0.883278116483061	0	5
Q12866	Mer	1.37066416621905	0.679404308885387	2.05006847510443	2.04575749056067	-0.618263765892997	-0.623555404777468	0.0274951719481279	46.8888888888889
P42685	FRK	1.35399959904155	0.698970004336019	2.05296960337757	2.0087739243075	-0.618082766504802	-0.611191770140386	0.0283304770954364	48.8888888888889
P16234	PDGFR[alpha]	1.06261786009189	0.698970004336019	1.76158786442791	1.97469413473523	-0.832520629824211	-0.921545361495985	0.133537097507661	5.33333333333333
P30530	Axl	1.24740387224602	0.698970004336019	1.94637387658204	1.94309514866353	-0.606143181796064	-0.596608766510761	0.0315692899308039	53.7777777777778
Q16288	TRKC	1.15526092686597	0.698970004336019	1.85423093120199	1.86646109162978	-0.697466456517366	-0.715128552735473	0.0677877308047196	15.3333333333333
P07332	Fes	1.22465375079715	0.698970004336019	1.92362375513316	1.7594507517174	-0.752908218162119	-0.702727145629163	0.132702222440024	13.4444444444444
P54756	EphA5	1.03028754869736	0.698970004336019	1.72925755303338	1.75203366493848	-0.866780580525553	-0.890499980577583	0.0474388001040608	4.25
Q15375	EphA7	0.730153764535307	1	1.73015376453531	1.71896663275227	-0.760757101421015	-0.760757101421015	0	3
Q9H3Y6	Srm	1.00751977538091	0.698970004336019	1.70648977971692	1.66554624884907	-0.607526207697083	-0.599203528713034	0.0216523956326098	41.1111111111111
P07333	FmS/CSFR	0.763746295948581	0.677434445889784	1.44118074183837	1.59516628338006	-0.732112235519869	-0.76800315615475	0.206679237285501	8.22222222222222
P42684	Arg	0.820881389317193	0.679404308885387	1.50028569820258	1.55595520408192	-0.581503024940171	-0.577888507151459	0.0238693651007516	46.4444444444444
P35916	FLT4	0.824518369264642	0.732417781632017	1.55693615089666	1.54975089168064	-0.655658229911671	-0.640900178002861	0.0340843651699668	15
P08069	IGF1R	0.852176548743358	0.698970004336019	1.55114655307938	1.51144928349956	-0.647919583620932	-0.643791324172406	0.0230512617631668	16.2222222222222
P07947	Yes	0.775896665515244	0.698970004336019	1.47486666985126	1.45345733652187	-0.626428662726378	-0.609205931676045	0.0551106340842913	22.5555555555556
P12931	Src	0.843170253613532	0.522878745280338	1.36604899889387	1.41566877563247	-0.590117781357502	-0.60356286496299	0.0233546792388184	38.1111111111111
P51813	Etk/BMX	0.752532046772948	0.698970004336019	1.45150205110897	1.39361863488939	-0.606606002103259	-0.584511628597471	0.049848409992531	28.3333333333333
P35968	KDR	0.75425559427183	0.698970004336019	1.45322559860785	1.33348201944512	-0.625943635233224	-0.602585679185502	0.0660803135433032	18.6666666666667
P08581	Met	0.740432321057722	0.698970004336019	1.43940232539374	1.32239304727951	-0.603199853495117	-0.572089110030851	0.0587177916757615	28.8888888888889
Q08881	ITK	0.513783788662672	0.659838613434756	1.17362240209743	1.28903688100472	-0.550033132749286	-0.564028777927563	0.0345423940021818	33.8888888888889
P07948	Lyn	0.701732596874583	0.640272917984125	1.34200551485871	1.28232949699774	-0.611996048952039	-0.598687624130757	0.0274611551199357	20.5555555555556
Q15303	HER4	0.718706408083059	0.601141527082863	1.31984793516592	1.26921772433361	-0.604223002999745	-0.593862575688276	0.064379087043798	28.1111111111111
P06241	Fyn	0.581247705739459	0.698970004336019	1.28021771007548	1.23062267392386	-0.59899766628257	-0.585622851014681	0.0417201337546116	15
P04629	TRKA	0.589458464011842	0.654754447816904	1.24421291182875	1.22621355501881	-0.599599523836033	-0.598176689023176	0.0787378943845494	11.4444444444444
P08631	HCK	0.553033002266474	0.640272917984125	1.1933059202506	1.22329881601159	-0.57944583207401	-0.582776553308423	0.0209015737256075	23
P42681	TXK	0.595501343566476	0.665522227040021	1.2610235706065	1.21467016498923	-0.559960013520122	-0.580202620446291	0.0778223279229959	27.1111111111111
P06213	InSR	0.686018841301701	0.522878745280338	1.20889758658204	1.17263072694617	-0.599412048352676	-0.595729725511072	0.0121077177343109	23.5555555555556
P42680	TEC	0.365834484801504	0.626390836138758	0.992225320940262	1.14630178822383	-0.523978620523524	-0.53803467416201	0.0362990968710003	36.3333333333333
Q14289	FAK2	0.499648219502403	0.557525418551159	1.05717363805356	1.14630178822383	-0.553229654767185	-0.553176232637564	0.0803491164625666	29.1111111111111
P29317	EphA2	0.581433696175772	0.5620101361816	1.14344383235737	1.1232050237993	-0.640971403954603	-0.637006664456982	0.046329476042346	6.77777777777778
P00519	Abl	0.456034102220575	0.620707222533494	1.07674132475407	1.11125903931711	-0.534057444206889	-0.538950745106831	0.0275603830694984	49.7777777777778
P54764	EphA4	0.45184979224371	0.698970004336019	1.15081979657973	1.09691001300806	-0.603286840010276	-0.576988043770741	0.0438213142068068	3.88888888888889
P07949	Ret	0.57191300598025	0.601141527082863	1.17305453306311	1.07262963696098	-0.586309487145938	-0.588495104012499	0.037096559326288	16
