Kinase Uniprot ID	Kinase Name	Mean Specificity Score	Mean Significance Score	Mean Final Score	Median Final score	Mean Kinase Statistic	Median Kinase Statistic	SD Kinase Statitistic	Mean peptide set size
P51451	BLK	1.99005042529405	1	2.99005042529405	2.63827216398241	1.59166454040065	1.61198882925146	0.177755569040109	21.5555555555556
P08631	HCK	1.41216690214742	1	2.41216690214742	2.3767507096021	1.40481913180596	1.41529823446477	0.0805891428370505	23
P42685	FRK	1.34304360089318	1	2.34304360089318	2.32790214206428	1.29854523002849	1.29189778582769	0.0197752959475836	48.8888888888889
P42680	TEC	1.21648331660791	1	2.21648331660791	2.30980391997149	1.32109432998182	1.32004497825297	0.0318557144146307	36.3333333333333
P07332	Fes	1.32466401021933	1	2.32466401021933	2.27572413039921	1.56473429200198	1.55250936003651	0.10408055708274	13.4444444444444
P54764	EphA4	1.26388352992112	1	2.26388352992112	2.23657200643706	1.96197181783847	1.88518505973315	0.429760183356957	3.88888888888889
Q16620	TRKB	1.2097004548303	1	2.2097004548303	2.22914798835786	1.45164600190687	1.47534322563241	0.0493176181957017	17.8888888888889
P00519	Abl	1.14360664114447	1	2.14360664114447	2.18708664335714	1.28231725375705	1.32930419676	0.0771063926073273	49.7777777777778
P51813	Etk/BMX	1.02705962473303	1	2.02705962473303	2.01772876696043	1.34492979540642	1.31683106543836	0.0761859033492594	28.3333333333333
P07947	Yes	1.01923695999365	1	2.01923695999365	1.97881070093006	1.38649533402991	1.35621336287191	0.208503177359298	22.5555555555556
P06241	Fyn	0.991865210033118	1	1.99186521003312	1.97061622231479	1.4299274134511	1.43415306316576	0.0889472499050499	15
P16591	Fer	0.819162136781117	1	1.81916213678112	1.93554201077308	1.32654182539177	1.37543247568061	0.192419285191476	13.2222222222222
P06239	Lck	0.88420577611558	1	1.88420577611558	1.90657831483776	1.30167156136886	1.29818333688729	0.0448608750023338	28.3333333333333
P21709	EphA1	0.839971943145188	1	1.83997194314519	1.88941028970075	1.5651169764831	1.58430215224694	0.123254653205915	5.2
Q16288	TRKC	0.891469861343928	1	1.89146986134393	1.83268266525182	1.3882983361564	1.37060606752499	0.0847996930783437	15.3333333333333
P43405	Syk	0.846098851854763	1	1.84609885185476	1.74957999769111	1.20544855847363	1.20647688943504	0.0105646698320364	68.8888888888889
P16234	PDGFR[alpha]	0.862563935114166	1	1.86256393511417	1.73992861201493	1.54651164860563	1.48451748314279	0.0929912481942566	5.33333333333333
P04629	TRKA	0.708209079075513	1	1.70820907907551	1.66756154008439	1.33668008212189	1.33678107552011	0.0516590513341647	11.4444444444444
P12931	Src	0.768711266119445	1	1.76871126611945	1.6345120151091	1.20784792671817	1.22141043510125	0.10399417538863	38.1111111111111
P06213	InSR	0.631125667562798	1	1.6311256675628	1.62708799702989	1.25396852712662	1.23731011539988	0.0784187349973874	23.5555555555556
P07949	Ret	0.561398415459445	1	1.56139841545944	1.60730304674033	1.20719248457184	1.25265143431229	0.177928646005862	16
P29317	EphA2	0.590281715020091	1	1.59028171502009	1.59687947882418	1.36029858218046	1.36925189425393	0.169435063044261	6.77777777777778
P42684	Arg	0.669685483229201	1	1.6696854832292	1.58670023591875	1.21350556384823	1.20659916268124	0.0439911157150048	46.4444444444444
P08069	IGF1R	0.573523156459374	1	1.57352315645937	1.55909091793478	1.25192728529708	1.24105857632554	0.0436821719535888	16.2222222222222
P07948	Lyn	0.437461169991062	1	1.43746116999106	1.53165266958784	1.16232881446734	1.22070255428844	0.117323675185868	20.5555555555556
Q14289	FAK2	0.471694513831717	1	1.47169451383172	1.49214412830417	1.19137534083171	1.18893061428802	0.0315587442197092	29.1111111111111
P07333	FmS/CSFR	0.415067719222261	0.966552222704002	1.38161994192626	1.4907974776689	1.22134651884812	1.27295254331898	0.239367096333148	8.22222222222222
P29376	LTK	0.456092578675548	1	1.45609257867555	1.48678239993206	1.22564955853064	1.20377160385619	0.126958688780451	14.3333333333333
P22455	FGFR4	0.444835162460865	0.933104445408004	1.37793960786887	1.47366072261016	1.14316896829809	1.1905338588717	0.158732992273203	17.6666666666667
Q04912	Ron	0.643699566512749	1	1.64369956651275	1.46852108295774	1.41034247357785	1.25503860743403	0.361949840414298	7.11111111111111
Q9H3Y6	Srm	0.439180773645167	1	1.43918077364517	1.45593195564972	1.16871851793592	1.17277805419064	0.0204163304875583	41.1111111111111
H0Y8A4	RYK	0.454255410109933	1	1.45425541010993	1.44977164694491	1.23184407637357	1.2147901693266	0.0850859441377771	8.11111111111111
Q08881	ITK	0.47179623943816	1	1.47179623943816	1.42829116819131	1.18700041013906	1.16928841479715	0.0550016178303495	33.8888888888889
P22607	FGFR3	0.353668178447543	0.962371250542002	1.31603942898955	1.37857033461966	1.17720733581838	1.18852928732343	0.170696393483029	7
P54756	EphA5	0.352058008795227	1	1.35205800879523	1.34680464421538	1.17006320191242	1.16223878355094	0.0156488367229624	4.25
