Kinase Uniprot ID	Kinase Name	Mean Specificity Score	Mean Significance Score	Mean Final Score	Median Final score	Mean Kinase Statistic	Median Kinase Statistic	SD Kinase Statitistic	Mean peptide set size
P29320	EphA3	2.39794000867204	1	3.39794000867204	3.39794000867204	-1.18439103702998	-1.18439103702998	0	5
P43405	Syk	2.91353874995737	0.348040838547658	3.26157958850503	3.30102999566398	-0.37588717105579	-0.378720513347072	0.0210344145088892	68.8888888888889
Q15375	EphA7	2.01525249685356	1	3.01525249685356	3	-1.48402958604991	-1.48402958604991	0	3
P08631	HCK	1.60165265289417	0.339242922320144	1.94089557521431	2.22184874961636	-0.449305720150378	-0.485048003045635	0.0825472679429937	23
P51451	BLK	1.61288434065902	0.414336945152242	2.02722128581126	2.22184874961636	-0.523460295137639	-0.535571475526742	0.105922018709563	21.5555555555556
Q06187	BTK	1.47352084775191	0.449528610062297	1.9230494578142	2.06048074738138	-0.50358103391735	-0.574499090358153	0.124162051154119	19
P12931	Src	1.77341702424855	0.312238694688333	2.08565571893688	2.01772876696043	-0.398797449455884	-0.405647251241423	0.0436280012135538	38.1111111111111
P54756	EphA5	1.12764707918428	0.698970004336019	1.8266170835203	1.83117055448693	-0.768844808638777	-0.795779837184095	0.0538700570906364	4.25
H0Y8A4	RYK	1.32092872661378	0.581575831632231	1.90250455824601	1.80687540164554	-0.651733242088755	-0.638877541997684	0.0999768400548539	8.11111111111111
P06213	InSR	1.34508013872631	0.397940008672038	1.74302014739835	1.77469071827414	-0.444594245249005	-0.460529383401552	0.0263981590675364	23.5555555555556
P42684	Arg	1.26301974794362	0.263698908610288	1.52671865655391	1.73518217699046	-0.326763590622469	-0.318213058809548	0.0328321648612627	46.4444444444444
P09769	Fgr	1.44314131099214	0.626390836138758	2.0695321471309	1.62708799702989	-0.676891597714211	-0.650180277636843	0.15138621557659	7.11111111111111
P21860	HER3	1.25045628675005	0.233365433936539	1.48382172068659	1.54975089168064	-0.347774772098839	-0.349059505003061	0.0414356831072187	39.6666666666667
P23458	JAK1~b	1.15412127076622	0.566901560044258	1.72102283081048	1.53387984030097	-0.800352955608151	-0.649252046730112	0.302201817756077	4.5
P07947	Yes	1.10304593940365	0.344101112556451	1.44714705196011	1.43770713554353	-0.405541756846622	-0.396358596565973	0.0378717292343799	22.5555555555556
P07948	Lyn	1.13042092350627	0.333333333333333	1.4637542568396	1.38933983691012	-0.409831853853094	-0.420320219485963	0.034538267164719	20.5555555555556
Q6ZMQ8	Lmr1	0.336020259396502	1	1.3360202593965	1.33348201944512	-0.328416676906732	-0.328416676906732	0	3
P29317	EphA2	0.839875928034809	0.392256395066773	1.23213232310158	1.27408836770495	-0.522386604876733	-0.553004067564773	0.157390207496377	6.77777777777778
P08069	IGF1R	0.736216347289664	0.38717222944892	1.12338857673858	1.09908693226233	-0.353087574202223	-0.367348476214174	0.0482878809535009	16.2222222222222
P04629	TRKA	0.8010846798501	0.294201942432071	1.09528662228217	1.06048074738138	-0.411281159444631	-0.401668431381492	0.058868273811555	11.4444444444444
P00519	Abl	0.890879463108946	0.177217556529281	1.06809701963823	1.00877392430751	-0.287585178231404	-0.27524641076524	0.0277356984791219	49.7777777777778
