Kinase	Observed	SamplingAvg	SD	Z
PKC[alpha]	1	0.213	0.40953004459833514	1.9217149275870233
FAK2	8	26.5765	9.790049554784826	-1.8974878417158625
DYRK1B	2	0.464	0.8444291150032267	1.8189803888916487
TIE1	1	0.236	0.42472838037803556	1.7987966787620617
MEKK6/MAP3K6	1	0.246	0.43078624443475105	1.7502880134655843
ASK/MAP3K5	1	0.248	0.4319598299001004	1.7409026209078642
JAK1~b	6	2.484	2.03760150911678	1.7255582037353554
Lck	22	14.1655	4.615383042642849	1.6974755784329938
DDR1	6	2.1835	2.3009726177192436	1.6586464222173007
FAK1	21	35.7635	9.610710204002233	-1.5361507824730753
SEK1/MAP2K4	3	0.943	1.340764641878826	1.5341991694511774
EphA3	0	2.0485	1.3516883075029984	-1.515512110764823
RYK	1	3.987	2.172369810897226	-1.3749960918331479
MAP2K7	2	0.7125	0.9504185381708679	1.35466633729374
Fgr	2	5.3685	2.5079578697295073	-1.3431246356476099
Tyk2	0	1.6795	1.2572072363049414	-1.3358974968488246
DDR2	5	1.8315	2.433735664496521	1.3019080281487692
EphA8	0	2.278	1.7542105424702181	-1.2985898470272559
EphA4	0	1.8135	1.410926329243762	-1.2853257908738667
JAK1	0	1.6055	1.270305706628978	-1.263868997534877
EphB4	0	1.1635	0.9231434595573225	-1.2603674845488657
IRR	0	3.8885	3.1588062267871377	-1.2310030184900083
CTK	12	18.293	5.1406579522558244	-1.22416236568288
Ron	10	6.119	3.2442412904676785	1.1962735359429844
EphA7	0	1.6345	1.3794423440616483	-1.184899105813554
EphB2	0	1.3705	1.157972452219849	-1.1835342001208518
TRKA	2	13.3095	9.708647623090183	-1.1648893274386118
FGFR3	4	8.887	4.220324225493124	-1.1579679045699334
Lyn	7	13.154	5.365881133622891	-1.1468759457675488
Src	36	24.7755	10.005206236050956	1.1218659301150296
FGFR2	5	9.5095	4.725364989833438	-0.9543178166558838
EphA5	1	2.553	1.675289317445967	-0.927004060628524
Akt1/PKB[alpha]	1	0.459	0.5852266613223984	0.9244281502444499
Ret	30	19.3265	12.040697112022698	0.8864519969813421
TRKC	9	17.6605	9.876741100048067	-0.8768580559389019
Lmr2	1	0.478	0.6055570573239465	0.8620162108370126
InSR	9	22.8205	16.177643147841696	-0.8542962577242799
BLK	29	20.73	9.696345164791596	0.8528986808379306
Axl	37	60.99	28.338938719081593	-0.846538405612441
FmS/CSFR	3	13.2295	12.547372156113488	-0.8152703110041934
IGF1R	8	19.4275	14.712782766641027	-0.77670554790696
ROR2	0	0.466	0.6099426325544918	-0.7640062771942212
EphA6	0	0.711	0.9533800222017277	-0.7457676723265321
FGFR4	14	18.9055	6.585609681528258	-0.7448816794835659
EphA10	0	0.7105	0.954015105965941	-0.7447471172698238
ATR	0	0.6825	0.9252685074644293	-0.7376237216484295
Tnk1	0	0.691	0.939659768341776	-0.735372550023518
