Kinase Uniprot ID	Kinase Name	Mean Specificity Score	Mean Significance Score	Mean Final Score	Median Final score	Mean Kinase Statistic	Median Kinase Statistic	SD Kinase Statitistic	Mean peptide set size
P23458	JAK1~b	1.95563030436442	0.241644061128263	2.19727436549268	2.22403115231758	-0.478303170067338	-0.455799321953999	0.0450076962266772	4.5
P54762	EphB1	1.68225812659254	0.301029995663981	1.98328812225653	1.98328812225653	-0.530761283412415	-0.530761283412415	0	3
P17948	FLT1	1.70622657210686	0.152567695460797	1.85879426756766	1.75696195131371	-0.222967088447276	-0.229930570555284	0.0430610117724131	19.1111111111111
Q14289	FAK2	1.57231937886889	0.0912263994027918	1.66354577827168	1.75448733218585	-0.168028131327842	-0.17588123782966	0.0334722580656439	31
P35916	FLT4	1.3979653560084	0.169779024348102	1.5677443803565	1.58670023591875	-0.219710215943668	-0.212707253859283	0.0330032724525691	15.4444444444444
P07333	FmS/CSFR	1.28521176716939	0.192094620891639	1.47730638806103	1.55909091793478	-0.265287543648787	-0.262743732592154	0.0610234110060261	8.22222222222222
Q13882	Brk	1.46251694372823	0.0969100130080564	1.55942695673629	1.51712641639125	-0.117854918147891	-0.112301145371338	0.0193340514443783	60.1111111111111
Q9H3Y6	Srm	1.36574617089666	0.0912263994027918	1.45697257029945	1.47366072261016	-0.138073080744505	-0.135308797306759	0.0233431158132147	41.3333333333333
P04626	HER2	1.16655119844748	0.103353562672244	1.26990476111973	1.29756946355447	-0.1428246578163	-0.132128980978125	0.0237751281657847	32.7777777777778
P07949	Ret	0.928413060180367	0.0984298851259021	1.02684294530627	1.29157909986529	-0.160989741922126	-0.200942755053442	0.063749768685742	17
P00519	Abl	1.0107895684732	0.0969100130080564	1.10769958148126	1.2580609222708	-0.104126061598994	-0.105995033927139	0.0153998183175889	51.3333333333333
P35968	KDR	0.974339199273475	0.154901959985743	1.12924115925922	1.20551195334083	-0.15125298130431	-0.159396146504427	0.0165275119429443	19.5555555555556
Q15303	HER4	1.09846649234373	0.117995580576533	1.21646207292026	1.18045606445813	-0.146599447389606	-0.135493290935698	0.0313849470585973	30.3333333333333
O60674	JAK2	1.07286859158364	0.103353562672244	1.17622215425588	1.14206473528057	-0.160011542198644	-0.165462285859137	0.0257173700299465	19.8888888888889
P16234	PDGFR[alpha]	0.911467061273089	0.199533153072819	1.11100021434591	1.09474395125155	-0.266404918018126	-0.267519675399579	0.00167213607217931	5.33333333333333
Q15375	EphA7	0.821665309500428	0.221848749616356	1.04351405911678	1.06651271215129	0.319499945644881	0.319499945644881	0	3
P09769	Fgr	0.749123616880723	0.0317038896819403	0.780827506562663	0.97387548325455	-0.196628711613226	-0.172746745826198	0.0581512583809794	7.11111111111111
P00533	EGFR	0.847737916443651	0.116240662000619	0.96397857844427	0.963371104637839	-0.0993651713516668	-0.0980984587961863	0.00661111331930389	48.5555555555556
P41240	CSK	0.644585070977756	0.0969100130080564	0.741495083985812	0.75448733218585	-0.089788714030319	-0.0895152639093367	0.0141382418820293	41.8888888888889
P16591	Fer	0.952078984522162	0.0856922429071812	1.03777122742934	0.690369832574101	-0.142518033232553	-0.192939420262982	0.104992265509993	13.2222222222222
P42679	CTK	0.592044459212418	0.0520405521533515	0.644085011365769	0.644356949779131	-0.0936326608709077	-0.0907003539680159	0.0193926164366556	27.6666666666667
P21860	HER3	0.603240228033884	0.0571247177712043	0.660364945805088	0.622511616623867	-0.0831504503060977	-0.0858772639911001	0.0178542311558185	40.6666666666667
Q12866	Mer	0.513697431702102	0.0969100130080564	0.610607444710158	0.612610173661271	-0.0743758981420497	-0.0754054939383648	0.0137273349074719	49
P06241	Fyn	0.668890279327827	0.0152524968535584	0.684142776181386	0.592439150513637	-0.129863018770781	-0.125863400216879	0.014233679928572	15
P36888	FLT3	0.719904250660103	0.105124561557212	0.825028812217315	0.590912630552165	-0.165789311772276	-0.101350049255778	0.11308161937055	13.8571428571429
P42684	Arg	0.464755042745791	0.086142233784939	0.55089727653073	0.583692412940117	-0.0725691324804345	-0.0747464922038779	0.0150780227768951	48.8888888888889
Q06187	BTK	0.475036275179361	0.0469563865354987	0.521992661714859	0.537901618864844	-0.0958565820691736	-0.0956944476330371	0.0343179052401183	20
