Kinase Uniprot ID	Kinase Name	Mean Specificity Score	Mean Significance Score	Mean Final Score	Median Final score	Mean Kinase Statistic	Median Kinase Statistic	SD Kinase Statitistic	Mean peptide set size
P06241	Fyn	1.97645683877656	1	2.97645683877656	3.04575749056068	3.58286090338263	3.47683675904223	0.295525364986708	15
O60674	JAK2	1.84926678507047	1	2.84926678507047	2.88605664769316	3.36206153300046	3.29987810830382	0.235254278542557	17.5555555555556
P12931	Src	1.08137701706639	1	2.08137701706639	2.13667713987954	2.70565421078637	2.72473795895429	0.182348624085357	36
Q04912	Ron	1.21449228901685	1	2.21449228901685	2.07058107428571	3.4493707259788	3.38695829437903	0.543839159327636	6.77777777777778
P30530	Axl	1.30339763519313	1	2.30339763519313	2.05551732784983	2.61382050597243	2.63051620462282	0.0669601467082562	51.4444444444444
P07948	Lyn	0.877372483192972	1	1.87737248319297	1.94309514866353	2.78508446661246	2.78433669000167	0.0996923653700523	18.6666666666667
P51813	Etk/BMX	0.933539431573082	1	1.93353943157308	1.92811799269387	2.77378235920259	2.74173379365441	0.132980101858224	23.4444444444444
P16234	PDGFR[alpha]	0.815416744801163	1	1.81541674480116	1.80966830182971	3.17795963301512	3.19401017470353	0.0240758125326148	5.33333333333333
P09619	PDGFR[beta]	0.885081221671359	1	1.88508122167136	1.80687540164554	2.93745455725243	2.88792167271459	0.120592300444894	12.1111111111111
Q06418	Tyro3/Sky	0.753064456403797	1	1.7530644564038	1.79860287567955	2.52674422248169	2.54963838863422	0.0835678228001116	39.8888888888889
P06239	Lck	0.727741350882213	1	1.72774135088221	1.79317412396815	2.61106358770122	2.67798860904229	0.13154536546178	28.2222222222222
P21802	FGFR2	0.858265205693838	1	1.85826520569384	1.76700388960785	3.103530934516	2.85789737647406	0.477188115751175	8.77777777777778
Q16620	TRKB	0.701478694073948	1	1.70147869407395	1.74957999769111	2.70074857104879	2.72380498474623	0.160025871002998	15.8888888888889
P22607	FGFR3	0.80984578621772	1	1.80984578621772	1.71219827006977	3.13893198397904	2.85789737647406	0.47793463631109	7.44444444444444
P42680	TEC	0.684941794667322	1	1.68494179466732	1.63078414258986	2.517483207969	2.57435374313268	0.185022349147462	32.3333333333333
Q16288	TRKC	0.675594008629381	1	1.67559400862938	1.55752023093555	2.73198926873047	2.58216200196622	0.271537793827379	13.3333333333333
Q08881	ITK	0.699847821440972	1	1.69984782144097	1.53017798402184	2.52591213405987	2.56751292316419	0.181651987099152	29.2222222222222
P10721	Kit	0.748657608091102	1	1.7486576080911	1.49894073778225	2.87124524211595	2.49571269556032	0.745614298545179	13.5555555555556
