Kinase Uniprot ID	Kinase Name	Mean Specificity Score	Mean Significance Score	Mean Final Score	Median Final score	Mean Kinase Statistic	Median Kinase Statistic	SD Kinase Statitistic	Mean peptide set size
P06239	Lck	2.21683082277683	1	3.21683082277683	3.15490195998574	6.26008803195444	6.26910233119927	0.222989056796653	28.3333333333333
Q9H3Y6	Srm	1.98049969761156	1	2.98049969761156	3.15490195998574	5.75701031135225	5.83006753792805	0.21891106813303	41.3333333333333
P42685	FRK	1.43737198188779	1	2.43737198188779	2.49485002168009	5.4304786362793	5.40998625911673	0.104398837229451	48.8888888888889
Q06418	Tyro3/Sky	1.13670467497748	1	2.13670467497748	2.16749108729376	5.3949834901363	5.37634302420604	0.260493660742232	42.6666666666667
Q12866	Mer	1.01028236713064	1	2.01028236713064	2.13667713987954	5.26466404529726	5.28554624023105	0.317527875945131	49
P51451	BLK	0.92425333198714	1	1.92425333198714	1.91721462968355	5.63590404926421	5.54922379628041	0.399839729493555	21.5555555555556
P09769	Fgr	0.778471300222925	1	1.77847130022292	1.88941028970075	5.82710940267337	5.97594184434984	1.00989608147921	7.11111111111111
Q06187	BTK	0.907224690642442	1	1.90722469064244	1.88605664769316	5.61345419106345	5.66614147427246	0.311362546685173	20
P16234	PDGFR[alpha]	0.806064790666608	1	1.80606479066661	1.83863199776503	6.22230810187372	6.4342380751688	0.31789495994262	5.33333333333333
Q04912	Ron	0.895277789008958	1	1.89527778900896	1.82102305270683	6.44037565276523	5.91428265552686	1.04141837035593	7.11111111111111
Q08345	DDR1	0.760909677322623	1	1.76090967732262	1.7851561519523	6.39718639150494	6.39718639150494	0	3
P08631	HCK	0.757051970819911	1	1.75705197081991	1.78251605578609	5.33614125975339	5.33913507771403	0.237242824347799	24
P43405	Syk	0.647087056825038	1	1.64708705682504	1.74472749489669	4.90808186335253	4.9757450942456	0.134771387310912	71
Q14289	FAK2	0.745979650237483	1	1.74597965023748	1.68402965454308	5.25909994386551	5.17997355773075	0.334423025391678	31
P22607	FGFR3	0.676971595095237	1	1.67697159509524	1.68211742860209	5.71066723944213	5.7146319353437	0.221649639939406	7
P07949	Ret	0.620900788274147	1	1.62090078827415	1.64397414280688	5.2791015547193	5.20477549538632	0.20015696824163	17
P12931	Src	0.622024430916803	1	1.6220244309168	1.63078414258986	5.05338997005135	5.08221377945581	0.0693580168347593	39.1111111111111
P42680	TEC	0.596056281629256	1	1.59605628162926	1.63078414258986	5.04986363832326	5.13443097520208	0.176126335577846	36.6666666666667
P21802	FGFR2	0.653361092877289	1	1.65336109287729	1.62708799702989	5.64672746604192	5.7146319353437	0.282457331515487	7.88888888888889
P06241	Fyn	0.912588402456079	1	1.91258840245608	1.59859945921846	5.57346395662275	5.32406903219884	0.482542675506382	15
P08581	Met	0.581844606205907	1	1.58184460620591	1.58335949266172	5.07685515966045	5.11270065865191	0.101892230484188	29.8888888888889
P10721	Kit	0.574537121003398	1	1.5745371210034	1.57511836336893	5.12224770825786	5.23172114952266	0.471795796254121	14.8888888888889
P30530	Axl	0.6539633768804	1	1.6539633768804	1.57186520597121	5.01024899664265	4.9385139689729	0.200908838301311	56.6666666666667
P14616	IRR	0.536251466500845	1	1.53625146650084	1.55737594610931	4.74491957100801	5.08791092702955	1.86203745127491	5.5
P07332	Fes	0.627041255080598	1	1.6270412550806	1.55284196865778	5.4361149618588	5.18646207319422	0.697218811131233	13.4444444444444
P04629	TRKA	0.557308858774322	1	1.55730885877432	1.54668165995296	5.17821965780221	5.25859368190674	0.43822462315183	12.4444444444444
P29376	LTK	0.500260077238383	1	1.50026007723838	1.50723961097316	5.05858259275883	5.0383453091668	0.618288479709823	14.6666666666667
Q13308	CCK4/PTK7	0.474180257823477	1	1.47418025782348	1.47755576649368	5.21006204374468	5.21006204374468	0	3
O60674	JAK2	0.442544284378072	1	1.44254428437807	1.47625353318844	4.96597712724228	4.9946781991027	0.205672744704818	19.8888888888889
P22455	FGFR4	0.464118511700677	1	1.46411851170068	1.46852108295774	5.01928144163826	4.99483364354528	0.161387993974439	18.2222222222222
P07947	Yes	0.447481232473186	1	1.44748123247319	1.45469288353418	4.97602380716499	4.95974818427782	0.138857777978593	22.5555555555556
P42681	TXK	0.45635379153232	1	1.45635379153232	1.44129142946683	4.94303748897753	4.97518292410756	0.152434294057798	28.1111111111111
P06213	InSR	0.3770835613529	1	1.3770835613529	1.4294570601181	4.80468274735067	4.94545026664285	0.283693589135346	23.5555555555556
Q05397	FAK1	0.477204443179473	1	1.47720444317947	1.41793663708829	4.91412439263893	4.93615539311864	0.129816568448643	39.2222222222222
P07333	FmS/CSFR	0.405178920967849	1	1.40517892096785	1.39794000867204	4.99730345708597	4.92978994415033	0.269075578654476	8.22222222222222
P21860	HER3	0.389051869507827	1	1.38905186950783	1.38721614328026	4.79771150948012	4.82148122264429	0.22399680686799	40.6666666666667
P07948	Lyn	0.358414429137001	1	1.358414429137	1.38510278396687	4.78298495015509	4.82156158557927	0.123612360323691	21.5555555555556
P42679	CTK	0.465096670897428	1	1.46509667089743	1.38090666937326	4.9724152721251	4.83860675153656	0.283065637835836	27.6666666666667
Q16620	TRKB	0.365404909881088	1	1.36540490988109	1.37882371822496	4.81803214503124	4.84787548573913	0.153606621598688	19.1111111111111
P00519	Abl	0.391060133394916	1	1.39106013339492	1.36351210364663	4.83776716999376	4.82861637072406	0.200952107428216	51.3333333333333
P21709	EphA1	0.40777243535611	1	1.40777243535611	1.35457773065091	5.01762584047206	4.77386088715834	0.488660097989375	5.2
Q13882	Brk	0.413815346016885	1	1.41381534601689	1.3429441471429	4.82770568582571	4.78810354182479	0.151389738285204	60.1111111111111
P54764	EphA4	0.436335377219313	1	1.43633537721931	1.33913452199613	5.02922948255956	4.64110516634233	0.640231222914201	3.88888888888889
Q16288	TRKC	0.35786129472153	1	1.35786129472153	1.33724216831843	4.77797078242817	4.75964283840995	0.298227865060333	16.7777777777778
P41240	CSK	0.341577319354182	1	1.34157731935418	1.32239304727951	4.76742631864847	4.7583307999027	0.0621126712283001	41.8888888888889
P51813	Etk/BMX	0.33840680545851	1	1.33840680545851	1.32239304727951	4.77306636289535	4.78959453050771	0.116897502404909	31.2222222222222
P16591	Fer	0.376598128808139	1	1.37659812880814	1.31515463835559	4.86646342739021	4.73253730612247	0.399431632208514	13.2222222222222
P43403	ZAP70	0.247092276614126	1	1.24709227661413	1.27984069659404	4.66508127770482	4.69646925615871	0.128793476687165	61
P09619	PDGFR[beta]	0.40192190988692	1	1.40192190988692	1.26921772433361	4.88455672407264	4.58512653078979	0.409329947627649	13.7777777777778
P29317	EphA2	0.314277394575556	1	1.31427739457556	1.2572748686953	4.57786780010323	4.40660688365356	0.30262528124141	6.88888888888889
P54762	EphB1	0.230257451550327	1	1.23025745155033	1.23025745155033	4.01412713149208	4.01412713149208	0	3
Q9UM73	ALK	0.22028080946022	1	1.22028080946022	1.22257317761069	4.60234248383762	4.61853752793073	0.115710573912668	39.3333333333333
P23458	JAK1~b	0.193017754435138	1	1.19301775443514	1.2193562650086	3.90382530938208	4.15549941240485	0.503348206045531	4.5
Q6ZMQ8	Lmr1	0.189051438782289	1	1.18905143878229	1.19382002601611	3.81375785335834	3.81375785335834	0	3
P29322	EphA8	0.24578613136229	1	1.24578613136229	1.1890957193313	4.17321457728098	3.89713000932442	0.47819249888646	3.66666666666667
P04626	HER2	0.202282396499813	1	1.20228239649981	1.15801519540989	4.47079676006584	4.52343049200714	0.354665061327619	32.7777777777778
P11362	FGFR1	0.191581523318989	1	1.19158152331899	1.14813039927023	4.24646234234823	4.23379717990875	0.385737086522195	14
Q15303	HER4	0.131895612373497	1	1.1318956123735	1.14266750356873	4.2655463032254	4.36276337700236	0.36250704484829	30.3333333333333
P08069	IGF1R	0.302561256554373	1	1.30256125655437	1.14086170270547	4.51421141897949	4.23175510023052	0.569750965544554	16.2222222222222
P42684	Arg	0.213274821864797	1	1.2132748218648	1.13846558914096	4.58215548918108	4.54776096108438	0.211554154256573	48.8888888888889
P54756	EphA5	0.142755329046706	1	1.14275532904671	1.10875222169862	3.71842484970999	3.5267466842388	0.383356330942372	5.25
Q08881	ITK	0.10087491990268	1	1.10087491990268	1.09420411963213	4.32320996034022	4.38652035345797	0.152604209191545	36.6666666666667
H0Y8A4	RYK	0.10018755639407	1	1.10018755639407	1.07883394936226	3.58398721680703	3.35775764279673	0.547835516117625	8.11111111111111
P29320	EphA3	0.0617340512567218	1	1.06173405125672	1.06173405125672	3.16742432707306	3.16742432707306	0	5
Q15375	EphA7	0.0443271320569087	1	1.04432713205691	1.04527520902094	2.48385648017089	2.48385648017089	0	3
P35916	FLT4	0.0850372521530517	1	1.08503725215305	1.04095860767891	3.811644449315	3.70086453886147	0.518565721995901	15.4444444444444
