Kinase Uniprot ID	Kinase Name	Mean Specificity Score	Mean Significance Score	Mean Final Score	Median Final score	Mean Kinase Statistic	Median Kinase Statistic	SD Kinase Statitistic	Mean peptide set size
P06241	Fyn	2.13940004335125	1	3.13940004335125	3.22184874961636	3.58286090338263	3.47683675904223	0.295525364986708	15
O60674	JAK2	1.99847104207939	1	2.99847104207939	2.95860731484178	3.36206153300046	3.29987810830382	0.235254278542557	17.5555555555556
Q04912	Ron	1.24316169836833	1	2.24316169836833	2.19382002601611	3.4493707259788	3.38695829437903	0.543839159327636	6.77777777777778
P12931	Src	1.09207095827909	1	2.09207095827909	2.10790539730952	2.70565421078637	2.72473795895429	0.182348624085357	36
P30530	Axl	1.27328584309357	1	2.27328584309357	1.96657624451305	2.61382050597243	2.63051620462282	0.0669601467082562	51.4444444444444
P07948	Lyn	0.85869972470925	1	1.85869972470925	1.94692155651658	2.78508446661246	2.78433669000167	0.0996923653700523	18.6666666666667
P51813	Etk/BMX	0.954216040949312	1	1.95421604094931	1.92811799269387	2.77378235920259	2.74173379365441	0.132980101858224	23.4444444444444
P16234	PDGFR[alpha]	0.814929212107479	1	1.81492921210748	1.82102305270683	3.17795963301512	3.19401017470353	0.0240758125326148	5.33333333333333
P09619	PDGFR[beta]	0.856151454901594	1	1.85615145490159	1.81815641205523	2.93745455725243	2.88792167271459	0.120592300444894	12.1111111111111
P06239	Lck	0.728201805126064	1	1.72820180512606	1.80134291304558	2.61106358770122	2.67798860904229	0.13154536546178	28.2222222222222
Q06418	Tyro3/Sky	0.731709841899434	1	1.73170984189943	1.79048498545737	2.52674422248169	2.54963838863422	0.0835678228001116	39.8888888888889
P21802	FGFR2	0.839463681464891	1	1.83946368146489	1.76700388960785	3.103530934516	2.85789737647406	0.477188115751175	8.77777777777778
P22607	FGFR3	0.798065877874181	1	1.79806587787418	1.75448733218585	3.13893198397904	2.85789737647406	0.47793463631109	7.44444444444444
Q16620	TRKB	0.679423284339243	1	1.67942328433924	1.73754891026957	2.70074857104879	2.72380498474623	0.160025871002998	15.8888888888889
P42680	TEC	0.70154271890688	1	1.70154271890688	1.67366413907125	2.517483207969	2.57435374313268	0.185022349147462	32.3333333333333
Q16288	TRKC	0.659783638530047	1	1.65978363853005	1.53910215724345	2.73198926873047	2.58216200196622	0.271537793827379	13.3333333333333
P10721	Kit	0.762242330696987	1	1.76224233069699	1.52724355068279	2.87124524211595	2.49571269556032	0.745614298545179	13.5555555555556
Q08881	ITK	0.689065017262112	1	1.68906501726211	1.51855737149769	2.52591213405987	2.56751292316419	0.181651987099152	29.2222222222222
Q08345	DDR1	0.507271141903459	1	1.50727114190346	1.50584540598156	2.73680748305746	2.73680748305746	0	3
Q13308	CCK4/PTK7	0.468968994036108	1	1.46896899403611	1.45717457304082	2.67106649626259	2.67106649626259	0	3
P22455	FGFR4	0.467809740092352	1	1.46780974009235	1.45345733652187	2.51853580530224	2.5078127116153	0.225209943782184	16.8888888888889
P54756	EphA5	0.443169716125943	1	1.44316971612594	1.44917113398415	2.58441568791422	2.62929847513542	0.0897655744424037	3.25
P07333	FmS/CSFR	0.579705252695212	1	1.57970525269521	1.40450377817443	2.66582583399913	2.40776728121554	0.514390697658762	7.66666666666667
P07947	Yes	0.32929743541359	1	1.32929743541359	1.34582345812204	2.22947037483016	2.35187998751654	0.286204688116829	22.6666666666667
P42685	FRK	0.382831521576665	1	1.38283152157667	1.33535802444387	2.33661188831421	2.31564139783314	0.138931226690088	48.4444444444444
P09769	Fgr	0.258292350920986	1	1.25829235092099	1.32513885926219	2.11694975842799	2.26428984113879	0.244114441277144	7.11111111111111
P04629	TRKA	0.316333283653802	1	1.3163332836538	1.32148162095989	2.30625492006988	2.30390105243401	0.123231832393344	11.6666666666667
Q05397	FAK1	0.290844025355408	1	1.29084402535541	1.31785492362617	2.25554149932722	2.31246094193391	0.254983441166746	36
P08631	HCK	0.499750442593754	1	1.49975044259375	1.31425826139774	2.48439153634508	2.33109584504671	0.476968792545122	22.6666666666667
P29322	EphA8	0.275777377925929	1	1.27577737792593	1.31425826139774	2.05963543587885	2.24205847785077	0.31596597716662	3.66666666666667
P08069	IGF1R	0.300436207395967	1	1.30043620739597	1.28232949699774	2.27150952291637	2.23951036494894	0.142656905255623	15.1111111111111
