Kinase Uniprot ID	Kinase Name	Mean Specificity Score	Mean Significance Score	Mean Final Score	Median Final score	Mean Kinase Statistic	Median Kinase Statistic	SD Kinase Statitistic	Mean peptide set size
P51451	BLK	1.98895646689603	1	2.98895646689603	2.76955107862173	1.59166454040065	1.61198882925146	0.177755569040109	21.5555555555556
P42685	FRK	1.34280696079705	1	2.34280696079705	2.42021640338319	1.29854523002849	1.29189778582769	0.0197752959475836	48.8888888888889
P07332	Fes	1.38292071347601	1	2.38292071347601	2.34678748622466	1.56473429200198	1.55250936003651	0.10408055708274	13.4444444444444
P00519	Abl	1.19468360800452	1	2.19468360800452	2.27572413039921	1.28231725375705	1.32930419676	0.0771063926073273	49.7777777777778
P42680	TEC	1.22773101728786	1	2.22773101728786	2.27572413039921	1.32109432998182	1.32004497825297	0.0318557144146307	36.3333333333333
Q16620	TRKB	1.2156176717252	1	2.2156176717252	2.24412514432751	1.45164600190687	1.47534322563241	0.0493176181957017	17.8888888888889
P08631	HCK	1.30671650018622	1	2.30671650018622	2.23657200643706	1.40481913180596	1.41529823446477	0.0805891428370505	23
P54764	EphA4	1.28642980789673	1	2.28642980789673	2.20760831050175	1.96197181783847	1.88518505973315	0.429760183356957	3.88888888888889
P06241	Fyn	0.994936158301925	1	1.99493615830192	2.01772876696043	1.4299274134511	1.43415306316576	0.0889472499050499	15
P51813	Etk/BMX	1.05301613256138	1	2.05301613256138	2.01322826573376	1.34492979540642	1.31683106543836	0.0761859033492594	28.3333333333333
P07947	Yes	1.02099610717066	1	2.02099610717066	1.97469413473523	1.38649533402991	1.35621336287191	0.208503177359298	22.5555555555556
P06239	Lck	0.876968434374316	1	1.87696843437432	1.89619627904404	1.30167156136886	1.29818333688729	0.0448608750023338	28.3333333333333
P16591	Fer	0.791885719624042	1	1.79188571962404	1.88605664769316	1.32654182539177	1.37543247568061	0.192419285191476	13.2222222222222
Q16288	TRKC	0.90455621293114	1	1.90455621293114	1.88605664769316	1.3882983361564	1.37060606752499	0.0847996930783437	15.3333333333333
P21709	EphA1	0.842792194095128	1	1.84279219409513	1.86646109162978	1.5651169764831	1.58430215224694	0.123254653205915	5.2
P16234	PDGFR[alpha]	0.872978315997911	1	1.87297831599791	1.75696195131371	1.54651164860563	1.48451748314279	0.0929912481942566	5.33333333333333
P43405	Syk	0.823054957320313	1	1.82305495732031	1.72124639904717	1.20544855847363	1.20647688943504	0.0105646698320364	68.8888888888889
P04629	TRKA	0.697330488229647	1	1.69733048822965	1.67778070526608	1.33668008212189	1.33678107552011	0.0516590513341647	11.4444444444444
P07949	Ret	0.553244580166369	1	1.55324458016637	1.6458915608526	1.20719248457184	1.25265143431229	0.177928646005862	16
P12931	Src	0.7570619324214	1	1.7570619324214	1.61618463401957	1.20784792671817	1.22141043510125	0.10399417538863	38.1111111111111
P06213	InSR	0.635334245760127	1	1.63533424576013	1.60730304674033	1.25396852712662	1.23731011539988	0.0784187349973874	23.5555555555556
P29317	EphA2	0.592243841075087	1	1.59224384107509	1.60554831917378	1.36029858218046	1.36925189425393	0.169435063044261	6.77777777777778
P42684	Arg	0.670460669119523	1	1.67046066911952	1.59345981956604	1.21350556384823	1.20659916268124	0.0439911157150048	46.4444444444444
P07948	Lyn	0.443033743315866	1	1.44303374331587	1.5543957967264	1.16232881446734	1.22070255428844	0.117323675185868	20.5555555555556
P08069	IGF1R	0.563221015526417	1	1.56322101552642	1.53760200210104	1.25192728529708	1.24105857632554	0.0436821719535888	16.2222222222222
P07333	FmS/CSFR	0.4218670090043	0.966552222704002	1.3884192317083	1.51144928349956	1.22134651884812	1.27295254331898	0.239367096333148	8.22222222222222
Q04912	Ron	0.647276928668662	1	1.64727692866866	1.50445566245355	1.41034247357785	1.25503860743403	0.361949840414298	7.11111111111111
P22455	FGFR4	0.451304981837009	0.933104445408004	1.38440942724501	1.49214412830417	1.14316896829809	1.1905338588717	0.158732992273203	17.6666666666667
Q14289	FAK2	0.475862955783952	1	1.47586295578395	1.48811663902113	1.19137534083171	1.18893061428802	0.0315587442197092	29.1111111111111
P29376	LTK	0.464370848281231	1	1.46437084828123	1.48148606012211	1.22564955853064	1.20377160385619	0.126958688780451	14.3333333333333
Q9H3Y6	Srm	0.438285013823036	1	1.43828501382304	1.45967052520913	1.16871851793592	1.17277805419064	0.0204163304875583	41.1111111111111
Q08881	ITK	0.468409365167275	1	1.46840936516727	1.43651891460559	1.18700041013906	1.16928841479715	0.0550016178303495	33.8888888888889
H0Y8A4	RYK	0.456944458622579	1	1.45694445862258	1.41680122603138	1.23184407637357	1.2147901693266	0.0850859441377771	8.11111111111111
P22607	FGFR3	0.352626351791519	0.962371250542002	1.31499760233352	1.39056426614973	1.17720733581838	1.18852928732343	0.170696393483029	7
P54756	EphA5	0.363404408769303	1	1.3634044087693	1.3585440005692	1.17006320191242	1.16223878355094	0.0156488367229624	4.25
Q9UM73	ALK	0.383601882010349	1	1.38360188201035	1.33724216831843	1.14252585441402	1.14016118530874	0.0568079421376836	37.4444444444444
P43403	ZAP70	0.340139836262161	1	1.34013983626216	1.30277065724028	1.13456835897274	1.12799455465164	0.0267889895725019	58.4444444444444
P21802	FGFR2	0.331990545361235	0.966552222704002	1.29854276806524	1.29328221766324	1.1602533362446	1.12458493152533	0.167576980276322	7.88888888888889
P42681	TXK	0.317258206862635	1	1.31725820686264	1.2839966563652	1.13178823973024	1.11972535801272	0.0665534326176769	27.1111111111111
