Kinase Uniprot ID	Kinase Name	Mean Specificity Score	Mean Significance Score	Mean Final Score	Median Final score	Mean Kinase Statistic	Median Kinase Statistic	SD Kinase Statitistic	Mean peptide set size
P29320	EphA3	2.41195437047216	1	3.41195437047216	3.41195437047216	-1.18439103702998	-1.18439103702998	0	5
P43405	Syk	2.82199333429689	0.348040838547658	3.17003417284455	3.30102999566398	-0.37588717105579	-0.378720513347072	0.0210344145088892	68.8888888888889
Q15375	EphA7	2.22184874961636	1	3.22184874961636	3.22184874961636	-1.48402958604991	-1.48402958604991	0	3
P51451	BLK	1.64481840259267	0.414336945152242	2.05915534774491	2.19382002601611	-0.523460295137639	-0.535571475526742	0.105922018709563	21.5555555555556
P08631	HCK	1.5710751333515	0.339242922320144	1.91031805567164	2.11918640771921	-0.449305720150378	-0.485048003045635	0.0825472679429937	23
Q06187	BTK	1.42873181798458	0.449528610062297	1.87826042804688	2.09151498112135	-0.50358103391735	-0.574499090358153	0.124162051154119	19
P12931	Src	1.74737202148672	0.312238694688333	2.05961071617505	2.01772876696043	-0.398797449455884	-0.405647251241423	0.0436280012135538	38.1111111111111
H0Y8A4	RYK	1.36573738407238	0.581575831632231	1.94731321570461	1.89962945488244	-0.651733242088755	-0.638877541997684	0.0999768400548539	8.11111111111111
P54756	EphA5	1.11670511246232	0.698970004336019	1.81567511679834	1.82217847488957	-0.768844808638777	-0.795779837184095	0.0538700570906364	4.25
P42684	Arg	1.25734420099419	0.263698908610288	1.52104310960448	1.7851561519523	-0.326763590622469	-0.318213058809548	0.0328321648612627	46.4444444444444
P06213	InSR	1.38537322817335	0.397940008672038	1.78331323684539	1.76447155309245	-0.444594245249005	-0.460529383401552	0.0263981590675364	23.5555555555556
P09769	Fgr	1.41297658263548	0.626390836138758	2.03936741877424	1.62708799702989	-0.676891597714211	-0.650180277636843	0.15138621557659	7.11111111111111
P23458	JAK1~b	1.21906484896893	0.566901560044258	1.78596640901318	1.58864469576984	-0.800352955608151	-0.649252046730112	0.302201817756077	4.5
P21860	HER3	1.24123752202527	0.233365433936539	1.47460295596181	1.57839607313017	-0.347774772098839	-0.349059505003061	0.0414356831072187	39.6666666666667
P07947	Yes	1.11610937775419	0.344101112556451	1.46021049031064	1.43889861635094	-0.405541756846622	-0.396358596565973	0.0378717292343799	22.5555555555556
P07948	Lyn	1.13184456457754	0.333333333333333	1.46517789791087	1.38721614328026	-0.409831853853094	-0.420320219485963	0.034538267164719	20.5555555555556
Q6ZMQ8	Lmr1	0.350217069789719	1	1.35021706978972	1.35951856302958	-0.328416676906732	-0.328416676906732	0	3
P29317	EphA2	0.865619811593699	0.392256395066773	1.25787620666047	1.3045183235098	-0.522386604876733	-0.553004067564773	0.157390207496377	6.77777777777778
P08069	IGF1R	0.74061512123209	0.38717222944892	1.12778735068101	1.09908693226233	-0.353087574202223	-0.367348476214174	0.0482878809535009	16.2222222222222
P04629	TRKA	0.784668402124449	0.294201942432071	1.07887034455652	1.08618614761628	-0.411281159444631	-0.401668431381492	0.058868273811555	11.4444444444444
P42685	FRK	0.787919901955303	0.22592690175536	1.01384680371066	1.06048074738138	-0.261334612800286	-0.277337631875653	0.0391586298702668	48.8888888888889
P00519	Abl	0.896272937873783	0.177217556529281	1.07349049440306	0.996539467890494	-0.287585178231404	-0.27524641076524	0.0277356984791219	49.7777777777778
P54764	EphA4	0.41676930061526	0.209111107397635	0.625880408012895	0.960585880823863	-0.310946739851287	-0.469601419710817	0.209453080728692	3.88888888888889
P43403	ZAP70	0.78207958159698	0.187374856803129	0.96945443840011	0.904481957676849	-0.265676915115671	-0.255615313043634	0.0425463843956874	58.4444444444444
P14616	IRR	0.508008702953571	0.285193746454456	0.793202449408027	0.864867348623225	-0.346498700879631	-0.384218142113987	0.217033895123902	5
P21709	EphA1	0.68747552882826	0.389769495510524	1.07724502433878	0.829738284605043	-0.484742356795859	-0.363002441054215	0.18309257276447	5.2
Q9UM73	ALK	0.862538703550099	0.239263991961493	1.10180269551159	0.828566099056992	-0.277447683107752	-0.278184896657428	0.0687068502246884	37.4444444444444
P06239	Lck	0.626010283192603	0.193089603408631	0.819099886601234	0.723538195826756	-0.261336156427408	-0.2536647627635	0.0673636050841384	28.3333333333333
P29322	EphA8	0.516140773843088	0.28054583596825	0.796686609811338	0.70071066591232	-0.423416263053598	-0.391479205160668	0.0553166069148248	3.66666666666667
Q16288	TRKC	0.425074142901457	0.214410217435177	0.639484360336634	0.674074044228534	-0.248308559766576	-0.26043251423701	0.0380084969518139	15.3333333333333
Q14289	FAK2	0.53372194954251	0.194813388984309	0.728535338526819	0.651111276928562	-0.244573939909341	-0.239816106547433	0.0619891551838336	29.1111111111111
P54762	EphB1	0.460545136431033	0.154901959985743	0.615447096416776	0.615447096416776	-0.416603518636766	-0.416603518636766	0	3
P29376	LTK	0.468954957700773	0.17745260298735	0.646407560688123	0.589054141312226	-0.256430571913233	-0.254632239710925	0.126160858009888	14.3333333333333
Q05397	FAK1	0.48595147429108	0.163335474683914	0.649286948974995	0.582030357785263	-0.227004628142891	-0.236484187167276	0.0524038300750275	38.2222222222222
P00533	EGFR	0.354754812842498	0.150448375355539	0.505203188198037	0.550675906901273	-0.198486153079596	-0.214354073607247	0.0369624907357899	43.6666666666667
P17948	FLT1	0.357874592833763	0.199533153072819	0.557407745906582	0.534765905011986	0.214364224261511	0.222629688965538	0.049870712908495	18.1111111111111
P36888	FLT3	0.258637157245361	0.204468874924326	0.463106032169687	0.474436941729933	-0.102741277592916	-0.160937593711967	0.178449842653311	13.5714285714286
P10721	Kit	0.288828065476542	0.142014860657368	0.43084292613391	0.466482137983033	-0.123761530506955	-0.200893636788078	0.159723350278201	13.8888888888889
Q9H3Y6	Srm	0.297866519872286	0.154901959985743	0.452768479858029	0.462055040708513	-0.190028590980861	-0.191811846597661	0.0106439207159148	41.1111111111111
Q16620	TRKB	0.317835129972322	0.162340492166922	0.480175622139244	0.460296761052174	-0.193922037546218	-0.189402078258959	0.0190845130293144	17.8888888888889
P35916	FLT4	0.285754706097968	0.159641826112633	0.445396532210601	0.3767507096021	0.188887273432221	0.152674493448852	0.102767621399845	15
O60674	JAK2	0.19144883087147	0.130647633446839	0.32209646431831	0.359021942641668	0.134458762994706	0.137399402614758	0.0447907892658053	18.8888888888889
Q04912	Ron	0.20830269944338	0.103898554311478	0.312201253754857	0.358922686674626	0.0249654464099787	-0.0153982790331426	0.18298544515406	7.11111111111111
P42681	TXK	0.216149512901784	0.135571310993181	0.351720823894965	0.34332695411515	-0.152405310022822	-0.162989854578175	0.0336007547618616	27.1111111111111
P21802	FGFR2	0.258527322490534	0.126578552384358	0.385105874874892	0.341797746612985	0.178123290428937	0.185071973883923	0.213544836480709	7.88888888888889
P22607	FGFR3	0.275966767185985	0.136681185112319	0.412647952298303	0.332095396946246	0.212501634580568	0.185071973883923	0.199898723695207	7
P07949	Ret	0.229060890967884	0.129127761328994	0.358188652296878	0.309449538489641	-0.152640448561416	-0.14961711284212	0.051780934028117	16
P09619	PDGFR[beta]	0.221980650032032	0.0647671634102153	0.286747813442247	0.286089645871045	0.154975725023742	0.157777911330908	0.029115990308166	12.1111111111111
P30530	Axl	0.133473793967954	0.142014860657368	0.275488654625322	0.272946988646143	-0.141984022754116	-0.138635006201078	0.0315499982571687	53.7777777777778
P08581	Met	0.115554354353347	0.105257938357812	0.22081229271116	0.263922362996054	-0.0886022248795616	-0.114838444349594	0.0761724168769808	28.8888888888889
P07333	FmS/CSFR	0.133215782627968	0.0948655916258949	0.228081374253863	0.255550542553202	-0.0964047761865646	-0.0967432053856509	0.0999740826462063	8.22222222222222
Q13882	Brk	0.114473340791736	0.0969100130080564	0.211383353799793	0.210983673206625	-0.136148371642345	-0.143772608742999	0.0177542756393803	57.5555555555556
Q08345	DDR1	0.155754288590021	0.0457574905606751	0.201511779150696	0.203772685970561	0.165778049494633	0.165778049494633	0	3
Q12866	Mer	0.0567928923057138	0.148458410321556	0.20525130262727	0.202109516941651	-0.0898653498855978	-0.103184822788834	0.0286895794344726	46.8888888888889
Q15303	HER4	0.0884906183224374	0.0690913929691453	0.157582011291583	0.184156709336733	-0.0264940729067025	-0.0460976832084202	0.0925789323875977	28.1111111111111
P06241	Fyn	0.112525938582393	0.0941056555669721	0.206631594149365	0.166470418241356	-0.084967172635911	-0.0596496036895592	0.0545802170135707	15
Q13308	CCK4/PTK7	0.0676982156333014	0.0969100130080564	0.164608228641358	0.165452142319051	0.0768874014113413	0.0768874014113413	0	3
P22455	FGFR4	0.0884184912616835	0.0718101610618145	0.160228652323498	0.155895769302487	0.0405171136307394	0.053786510493781	0.0802455974158647	17.6666666666667
P51813	Etk/BMX	0.0950112293166294	0.0469563865354987	0.141967615852128	0.148680487351255	-0.0148262296070087	-0.00988116488450361	0.100748731064736	28.3333333333333
P11362	FGFR1	0.0668968440299746	0.0984298851259021	0.165326729155877	0.146484303243071	-0.00471369906994654	0.0329842837035373	0.0798111405801712	14
P42680	TEC	0.0415167744927336	0.0538388961155869	0.0953556706083205	0.139302725947961	-0.0571614586522263	-0.0799573537958898	0.0408248392315486	36.3333333333333
Q06418	Tyro3/Sky	0.0962954517711461	0.110557048395354	0.2068525001665	0.139302725947961	-0.103644871581384	-0.0826887162554912	0.0420546460558527	42.5555555555556
P16234	PDGFR[alpha]	0.0740066911262682	0.138556258544156	0.212562949670425	0.13691517467964	0.0683849215644336	0.0383143780952174	0.0451058152038243	5.33333333333333
P04626	HER2	0.14101790109423	0.0825779402849319	0.223595841379162	0.131708311982144	-0.0886436487140545	-0.040595073104116	0.109158689039514	31.7777777777778
P16591	Fer	0.0925234660912325	0.0489152185692451	0.141438684660478	0.130885673020625	0.00398260945823762	-0.0057793744371832	0.0916794609208748	13.2222222222222
P42679	CTK	0.123702306388985	0.020936110458823	0.144638416847808	0.124360062995832	-0.1064409467983	-0.1007782005072	0.0309972020088463	26.8888888888889
P07332	Fes	0.050168657277576	0.0469563865354987	0.0971250438130747	0.0810265695070458	-0.0398117263044973	-0.0296290536056006	0.0373609289327542	13.4444444444444
P41240	CSK	0.0196666198653231	0.0469563865354987	0.0666230064008218	0.0603310164776735	-0.0277595949463687	-0.0153649255331414	0.0356096005654811	40.8888888888889
Q08881	ITK	0.0371650140244171	0.0305049937071167	0.0676700077315339	0.0603310164776735	0.0331340232447887	0.0188407615145123	0.0407485644830782	33.8888888888889
P35968	KDR	0.0397271144667654	0.00508416561785279	0.0448112800846182	0.0467236633326956	0.00580781498595704	0.00246721554296342	0.0394245008243565	18.6666666666667
