ID	PepProtein_PhosLink	PepProtein_UniprotName	Database	Kinase_Rank
VGFR1_1040_1052	P35916_1063	VGFR3	PhosphoNET	1
VGFR1_1040_1052	P35968_1054	VGFR2	PhosphoNET	1
NTRK2_696_708	P04629_676	NTRK1	PhosphoNET	1
NTRK2_696_708	P29376_672	LTK	PhosphoNET	1
NTRK2_696_708	Q16288_705	NTRK3	PhosphoNET	1
NTRK2_696_708	Q16620_702	NTRK2	PhosphoNET	1
NCF1_313_325	A6NI72_325	NCF1B	PhosphoNET	1
NCF1_313_325	A8MVU1_300	NCF1C	PhosphoNET	1
NCF1_313_325	P14598_324	NCF1	PhosphoNET	1
MET_1227_1239	P08581_1230	MET	PhosphoNET	1
MET_1227_1239	Q04912_1239	RON	PhosphoNET	1
MAPK3_198_210_C203S	P49137_225	MAPK2	PhosphoNET	1
MAPK3_198_210_C203S	Q16644_204	MAPK3	PhosphoNET	1
LYN_501_512	P51451_494	BLK	PhosphoNET	1
CDK2_8_20	Q00537_203	CDK17	PhosphoNET	1
CDK2_8_20	Q13043_41	STK4	PhosphoNET	1
CD3Z_77_89	P20963_83	CD3Z	PhosphoNET	1
CD3Z_146_158	P20963_153	CD3Z	PhosphoNET	1
CD3E_193_205	P07766_199	CD3E	PhosphoNET	1
VGFR2_989_1001	P35968_996	VGFR2	PhosphoNET	2
PTN11_57_67	P29350_61	PTN6	PhosphoNET	2
PTN11_539_551	Q06124_551	PTN11	PhosphoNET	2
NTRK2_696_708	O15146_751	MUSK	PhosphoNET	2
NTRK2_696_708	P06213_1185	INSR	PhosphoNET	2
NTRK2_696_708	P08069_1161	IGF1R	PhosphoNET	2
NTRK2_696_708	P14616_1141	INSRR	PhosphoNET	2
NTRK2_696_708	Q01973_641	ROR1	PhosphoNET	2
NTRK2_696_708	Q13308_956	PTK7	PhosphoNET	2
NTRK2_696_708	Q16288_710	NTRK3	PhosphoNET	2
NTRK2_696_708	Q9UM73_1278	ALK	PhosphoNET	2
EPOR_361_373	P19235_368	EPOR	PhosphoNET	2
CDK2_8_20	Q13188_38	STK3	PhosphoNET	2
VGFR1_1040_1052	P17948_1048	VGFR1	PhosphoNET	3
SHC1_309_321	P29353_315	SHC1	PhosphoNET	3
SHC1_309_321	P98077_305	SHC2	PhosphoNET	3
PDPK1_369_381	O15530_373	PDPK1	PhosphoNET	3
NTRK2_696_708	P08922_2110	ROS1	PhosphoNET	3
NTRK2_696_708	Q01973_646	ROR1	PhosphoNET	3
NTRK2_696_708	Q06418_681	TYRO3	PhosphoNET	3
NTRK2_696_708	Q06418_686	TYRO3	PhosphoNET	3
FGFR1_761_773	P22607_760	FGFR3	PhosphoNET	3
CDK2_8_20	P49336_32	CDK8	PhosphoNET	3
CDK2_8_20	Q8IVH8_31	M4K3	PhosphoNET	3
RON_1346_1358	Q04912_1353	RON	PhosphoNET	4
