Kinase Uniprot ID	Kinase Name	Mean Specificity Score	Mean Significance Score	Mean Final Score	Median Final score	Mean Kinase Statistic	Median Kinase Statistic	SD Kinase Statitistic	Mean peptide set size
P06239	Lck	1.72188776022059	1	2.72188776022059	2.67778070526608	-3.47293264007161	-3.54949917444123	0.158806123507527	28.2222222222222
P06241	Fyn	1.55951576549872	1	2.55951576549872	2.52287874528034	-4.41166052995491	-4.34012279986402	0.751667272964503	15
P30530	Axl	1.29330369097095	1	2.29330369097095	2.25963731050576	-2.76998643634185	-2.64804326374397	0.233540231482993	51.4444444444444
P22607	FGFR3	1.27281590616035	1	2.27281590616035	2.23657200643706	-5.8821638537556	-4.61662293199741	2.21338701700487	7.44444444444444
P21802	FGFR2	1.2316837383796	1	2.2316837383796	2.22914798835786	-5.17166676188481	-4.61662293199741	1.51238477269993	8.77777777777778
P22455	FGFR4	0.961615460730154	1	1.96161546073015	1.97469413473523	-3.60353873914202	-3.47884280988157	0.83305780042467	16.8888888888889
Q04912	Ron	0.89175062417095	1	1.89175062417095	1.93930215964639	-3.25199175606308	-3.39475590111692	0.429802098504852	6.77777777777778
Q13308	CCK4/PTK7	0.9202568714665	1	1.9202568714665	1.92081875395238	-3.65977771110161	-3.65977771110161	0	3
P12931	Src	0.8884355583957	1	1.8884355583957	1.88941028970075	-2.80964546663761	-2.8164272669081	0.181113328638567	36
P07333	FmS/CSFR	0.851453614895143	1	1.85145361489514	1.87289520163519	-3.63711876633965	-3.2012499952209	1.83413978463692	7.66666666666667
P07948	Lyn	0.907649212653614	1	1.90764921265361	1.83863199776503	-3.04196862055626	-3.04503025240287	0.125718372437	18.6666666666667
P11362	FGFR1	0.736995139064191	0.933104445408004	1.6700995844722	1.80687540164554	-2.95767470137694	-2.9824812796293	1.32861365736394	13.3333333333333
P54756	EphA5	0.657073957149064	1	1.65707395714906	1.71119666131873	-2.87838260277538	-3.05143714967313	0.346109093795495	3.25
P08581	Met	0.559247765309687	1	1.55924776530969	1.68193666503724	-2.41836741773766	-2.63396522992157	0.556745880289144	27.2222222222222
P16234	PDGFR[alpha]	0.588982238945773	1	1.58898223894577	1.63078414258986	-2.62099023954127	-2.75116116057829	0.195256381555529	5.33333333333333
P51813	Etk/BMX	0.461437642545567	1	1.46143764254557	1.48678239993206	-2.31100020553337	-2.35165830745654	0.181972691347666	23.4444444444444
Q12866	Mer	0.488991835685478	1	1.48899183568548	1.48545224733971	-2.33354908363307	-2.3878212059248	0.293792514879597	43.6666666666667
P08631	HCK	0.545911845045871	1	1.54591184504587	1.46597389394386	-2.49787102259532	-2.30087033038872	0.502126247769175	22.6666666666667
O60674	JAK2	0.414839336235979	1	1.41483933623598	1.4294570601181	-2.19118599768017	-2.18830610261563	0.137257978679121	17.5555555555556
P08069	IGF1R	0.394160582000862	1	1.39416058200086	1.38510278396687	-2.17118441186317	-2.14727244102667	0.161862404053801	15.1111111111111
P09769	Fgr	0.374035491746022	1	1.37403549174602	1.38090666937326	-2.13380285289214	-2.10909143843899	0.226169945410408	7.11111111111111
Q16288	TRKC	0.417655810585251	1	1.41765581058525	1.37571790416433	-2.22031001524145	-2.13466300262502	0.2898460574687	13.3333333333333
Q16620	TRKB	0.374451827432803	1	1.3744518274328	1.36754270781528	-2.13770879303559	-2.0965548733506	0.150061101009377	15.8888888888889
P51451	BLK	0.409716943232944	1	1.40971694323294	1.35066514128786	-2.19049918995596	-2.10409719171391	0.161181741613512	20.5555555555556
Q05397	FAK1	0.318892687942276	1	1.31889268794228	1.34582345812204	-2.13263268946417	-2.12876506608177	0.183113411379736	36
Q06418	Tyro3/Sky	0.343157633552593	1	1.34315763355259	1.34486156518862	-2.1796742346912	-2.17344861662055	0.0978714673980645	39.8888888888889
P21709	EphA1	0.314492395174838	1	1.31449239517484	1.32605800136591	-1.91262733789984	-1.91523807905482	0.0665125744457964	4.6
H0Y8A4	RYK	0.342650109484822	1	1.34265010948482	1.31515463835559	-2.02341225367687	-1.99141477105382	0.248793526542532	7.11111111111111
