ID	PepProtein_PhosLink	PepProtein_UniprotName	Database	Kinase_Rank
RASA1_453_465	P20936_460	RASA1	iviv / iviv / PhosphoNET	0
PP2AB_297_309	P67775_307	PP2AA	iviv	0
PLCG1_777_789	P19174_783	PLCG1	iviv / iviv / iviv / iviv / PhosphoNET	0
PLCG1_764_776	P19174_771	PLCG1	iviv / iviv / iviv / iviv / PhosphoNET	0
GAB2_638_648	Q13480_659	GAB1	iviv / iviv / iviv / iviv	0
GAB1_622_632	Q13480_627	GAB1	iviv / iviv / iviv / iviv / PhosphoNET	0
EGFR_862_874	P00533_869	EGFR	iviv	0
EGFR_1190_1202	P00533_1197	EGFR	iviv / iviv / iviv / PhosphoNET	0
EGFR_1165_1177	P00533_1172	EGFR	iviv / iviv / iviv / PhosphoNET	0
EGFR_1103_1115	P00533_1110	EGFR	iviv / iviv / iviv / PhosphoNET	0
CBL_693_705	P22681_700	CBL	iviv	0
ANXA1_14_26	P04083_21	ANXA1	iviv / iviv / iviv	0
41_654_666	P11171_660	41	iviv / iviv / iviv / PhosphoNET	0
TIE2_986_998	P35590_1007	TIE1	PhosphoNET	1
MBP_198_210	P02686_203	MBP	PhosphoNET	1
DYR1A_312_324	Q13627_321	DYR1A	PhosphoNET	1
DYR1A_312_324	Q9Y463_273	DYR1B	PhosphoNET	1
CDK4_11_23	O94804_51	STK10	PhosphoNET	1
CDK4_11_23	P11802_21	CDK4	PhosphoNET	1
CDK4_11_23	Q9H2G2_49	SLK	PhosphoNET	1
CDK2_8_20	Q8WXR4_38	MYO3B	PhosphoNET	1
VISTA_260_270	Q9H7M9_265	VISTA	PhosphoNET	2
SHC1_309_321	P98077_305	SHC2	PhosphoNET	2
LYN_501_512	P07948_508	LYN	PhosphoNET	2
LYN_501_512	P51451_501	BLK	PhosphoNET	2
ENOG_37_49	P06733_44	ENOA	PhosphoNET	2
ENOG_37_49	P09104_44	ENOG	PhosphoNET	2
ENOG_37_49	P13929_44	ENOB	PhosphoNET	2
DYR1A_212_224	Q13627_219	DYR1A	PhosphoNET	2
CDK2_8_20	P24941_15	CDK2	PhosphoNET	2
CDK2_8_20	Q00526_19	CDK3	PhosphoNET	2
CDK2_8_20	Q6PHR2_29	ULK3	PhosphoNET	2
