Kinase Uniprot ID	Kinase Name	Mean Specificity Score	Mean Significance Score	Mean Final Score	Median Final score	Mean Kinase Statistic	Median Kinase Statistic	SD Kinase Statitistic	Mean peptide set size
P06239	Lck	2.42497922380414	0.522878745280338	2.94785796908448	2.92081875395237	-0.709941475270167	-0.700756771394358	0.0574110988608135	28.2222222222222
P11362	FGFR1	1.35580432844274	0.47357902314337	1.82938335158611	2.16115090926274	-0.670910964594998	-0.769631178032858	0.2186084543249	13.3333333333333
Q13308	CCK4/PTK7	1.22477339105219	0.698970004336019	1.92374339538821	1.92081875395238	-0.902305106319518	-0.902305106319518	0	3
Q08345	DDR1	0.831354525144483	0.522878745280338	1.35423327042482	1.34678748622466	-0.716517777001606	-0.716517777001606	0	3
P22607	FGFR3	0.847313967040354	0.514680277040236	1.36199424408059	1.29242982390206	-0.691359789479026	-0.611334842063261	0.213891195304032	7.44444444444444
P21802	FGFR2	0.784127819766702	0.495114581589604	1.27924240135631	1.28483264215154	-0.624282361386606	-0.611334842063261	0.0460204811454728	8.77777777777778
P22455	FGFR4	0.67100115881104	0.47046472052112	1.14146587933216	1.19654288435159	-0.552959272621821	-0.563477543067547	0.0448320849059448	16.8888888888889
P06241	Fyn	0.852300265767279	0.459151949658769	1.31145221542605	1.17005330405836	-0.610543945686127	-0.589954204040002	0.0485990810906418	15
P29376	LTK	0.673987227850515	0.38717222944892	1.06115945729944	1.0195421077239	-0.559484955352855	-0.539367025260191	0.0961345468848864	14.5555555555556
Q12866	Mer	0.52778503474615	0.346070975552054	0.873856010298204	0.958607314841775	-0.47849993058929	-0.501329581751447	0.0509057676905449	43.6666666666667
P07333	FmS/CSFR	0.385139668049725	0.334158756702291	0.719298424752016	0.882066164960359	-0.383854364601068	-0.514516594752328	0.243668835366611	7.66666666666667
P30530	Axl	0.831379706292573	0.42881847498502	1.26019818127759	0.869023308394383	-0.518042829872316	-0.477864456960334	0.0612960973610951	51.4444444444444
P41240	CSK	0.399636074050785	0.39028653207117	0.789922606121955	0.869023308394383	-0.469795128152163	-0.483880984732252	0.0347324531379267	38.6666666666667
